file,orig_split,group,label
E:\437 project\dataset\test\fake\fake_00000_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00002_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00004_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00005_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00006_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00007_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00008_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00009_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00010_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00011_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00012_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00013_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00014_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00015_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00016_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00017_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00018_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00019_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00020_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00021_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00023_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00024_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00025_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00027_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00028_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00029_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00030_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00032_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00033_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00034_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00035_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00036_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00038_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00039_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00040_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00041_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00042_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00043_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00044_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00045_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00046_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00047_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00050_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00051_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00053_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00054_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00055_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00056_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00057_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00058_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00059_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00060_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00061_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00062_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00064_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00065_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00067_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00068_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00069_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00070_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00071_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00072_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00073_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00075_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00076_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00077_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00080_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00081_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00082_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00083_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00084_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00085_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00086_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00087_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00088_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00089_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00090_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00091_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00093_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00094_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00095_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00096_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00097_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00098_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00099_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00100_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00102_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00103_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00104_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00105_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00106_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00108_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00109_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00110_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00111_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00112_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00113_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00114_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00115_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00116_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00117_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00118_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00119_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00120_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00121_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00122_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00123_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00124_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00125_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00126_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00127_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00128_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00129_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00130_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00132_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00133_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00134_SDXL.jpg,test,fake,sdxl
